project,num_covered_instruction,num_uncovered_instruction,num_total_instruction,C0coverage
Findwise/Hydra,206,1057,1263,16
Findwise/Hydra,0,500,500,0
Findwise/Hydra,0,447,447,0
Findwise/Hydra,0,397,397,0
Findwise/Hydra,0,271,271,0
Findwise/Hydra,0,152,152,0
Findwise/Hydra,1256,1008,2264,55
Findwise/Hydra,394,747,1141,35
Findwise/Hydra,406,732,1138,36
Findwise/Hydra,168,436,604,28
Findwise/Hydra,217,1750,1967,11
Findwise/Hydra,1893,964,2857,66
Findwise/Hydra,1644,1463,3107,53
Findwise/Hydra,967,784,1751,55
Findwise/Hydra,1504,3475,4979,30
Findwise/Hydra,0,732,732,0
Findwise/Hydra,0,353,353,0
Findwise/Hydra,122,95,217,56
Findwise/Hydra,7,240,247,3
Findwise/Hydra,0,278,278,0
Findwise/Hydra,193,43,236,82
Findwise/Hydra,0,80,80,0
Findwise/Hydra,193,43,236,82
Findwise/Hydra,1622,581,2203,74
Findwise/Hydra,38,7,45,84
Findwise/Hydra,387,48,435,89
Findwise/Hydra,379,357,736,51
Findwise/Hydra,64,136,200,32
GoogleCloudPlatform/DataflowJavaSDK,1005,2159,3164,32
GoogleCloudPlatform/DataflowJavaSDK,689,1327,2016,34
GoogleCloudPlatform/DataflowJavaSDK,0,1127,1127,0
GoogleCloudPlatform/DataflowJavaSDK,0,1047,1047,0
GoogleCloudPlatform/DataflowJavaSDK,368,834,1202,31
GoogleCloudPlatform/DataflowJavaSDK,226,480,706,32
GoogleCloudPlatform/DataflowJavaSDK,0,249,249,0
GoogleCloudPlatform/DataflowJavaSDK,21433,5666,27099,79
GoogleCloudPlatform/DataflowJavaSDK,14045,4196,18241,77
GoogleCloudPlatform/DataflowJavaSDK,6242,2645,8887,70
GoogleCloudPlatform/DataflowJavaSDK,11207,1810,13017,86
GoogleCloudPlatform/DataflowJavaSDK,4879,1761,6640,73
GoogleCloudPlatform/DataflowJavaSDK,5024,1368,6392,79
GoogleCloudPlatform/DataflowJavaSDK,391,1040,1431,27
GoogleCloudPlatform/DataflowJavaSDK,7527,923,8450,89
GoogleCloudPlatform/DataflowJavaSDK,2100,806,2906,72
GoogleCloudPlatform/DataflowJavaSDK,4585,749,5334,86
GoogleCloudPlatform/DataflowJavaSDK,1420,565,1985,72
GoogleCloudPlatform/DataflowJavaSDK,2279,563,2842,80
GoogleCloudPlatform/DataflowJavaSDK,0,534,534,0
GoogleCloudPlatform/DataflowJavaSDK,893,406,1299,69
GoogleCloudPlatform/DataflowJavaSDK,4994,348,5342,93
GoogleCloudPlatform/DataflowJavaSDK,1106,281,1387,80
GoogleCloudPlatform/DataflowJavaSDK,912,278,1190,77
GoogleCloudPlatform/DataflowJavaSDK,N/A,N/A,N/A,91
GoogleCloudPlatform/DataflowJavaSDK,N/A,N/A,N/A,82
GoogleCloudPlatform/DataflowJavaSDK,0,N/A,N/A,0
GoogleCloudPlatform/DataflowJavaSDK,N/A,N/A,N/A,89
GoogleCloudPlatform/DataflowJavaSDK,N/A,N/A,N/A,87
GoogleCloudPlatform/DataflowJavaSDK,N/A,N/A,N/A,95
GoogleCloudPlatform/DataflowJavaSDK,N/A,N/A,N/A,99
JakeWharton/DiskLruCache,1933,271,2204,88
JavaMoney/jsr354-api,1352,491,1843,73
JavaMoney/jsr354-api,683,349,1032,66
JavaMoney/jsr354-api,632,210,842,75
JavaMoney/jsr354-api,441,176,617,71
Mach5/supersonic,N/A,N/A,N/A,1
Mach5/supersonic,988,10632,11620,9
Mach5/supersonic,0,6895,6895,0
Mach5/supersonic,2860,2637,5497,52
Mach5/supersonic,0,2383,2383,0
Mach5/supersonic,2236,1916,4152,54
Mach5/supersonic,0,1611,1611,0
Mach5/supersonic,0,1433,1433,0
Mach5/supersonic,N/A,N/A,N/A,4
Mach5/supersonic,1084,885,1969,55
Mach5/supersonic,0,567,567,0
Mach5/supersonic,0,448,448,0
Mach5/supersonic,0,425,425,0
Mach5/supersonic,0,374,374,0
Mach5/supersonic,0,227,227,0
Mach5/supersonic,0,223,223,0
Mach5/supersonic,0,N/A,N/A,0
Mach5/supersonic,0,N/A,N/A,0
Mach5/supersonic,0,N/A,N/A,0
Mach5/supersonic,N/A,N/A,N/A,70
Mach5/supersonic,0,N/A,N/A,0
Mach5/supersonic,N/A,N/A,N/A,99
Mashape/unirest-java,434,395,829,52
Mashape/unirest-java,359,292,651,55
Mashape/unirest-java,832,243,1075,77
Mashape/unirest-java,285,76,361,79
Mashape/unirest-java,0,32,32,0
Mashape/unirest-java,275,18,293,94
Mashape/unirest-java,N/A,N/A,N/A,79
Mashape/unirest-java,N/A,N/A,N/A,50
OfficeDev/ews-java-api,876,12577,13453,7
OfficeDev/ews-java-api,1509,8706,10215,15
OfficeDev/ews-java-api,0,6778,6778,0
OfficeDev/ews-java-api,0,4076,4076,0
OfficeDev/ews-java-api,1018,3765,4783,21
OfficeDev/ews-java-api,N/A,N/A,N/A,2
OfficeDev/ews-java-api,873,3394,4267,20
OfficeDev/ews-java-api,245,3092,3337,7
OfficeDev/ews-java-api,0,2778,2778,0
OfficeDev/ews-java-api,520,2461,2981,17
OfficeDev/ews-java-api,0,2117,2117,0
OfficeDev/ews-java-api,436,1704,2140,20
OfficeDev/ews-java-api,0,1468,1468,0
OfficeDev/ews-java-api,0,1424,1424,0
OfficeDev/ews-java-api,N/A,N/A,N/A,4
OfficeDev/ews-java-api,N/A,N/A,N/A,7
OfficeDev/ews-java-api,0,1048,1048,0
OfficeDev/ews-java-api,N/A,N/A,N/A,8
OfficeDev/ews-java-api,0,929,929,0
OfficeDev/ews-java-api,0,927,927,0
OfficeDev/ews-java-api,0,905,905,0
OfficeDev/ews-java-api,N/A,N/A,N/A,8
OfficeDev/ews-java-api,0,596,596,0
OfficeDev/ews-java-api,0,590,590,0
OfficeDev/ews-java-api,0,559,559,0
OfficeDev/ews-java-api,368,518,886,42
OfficeDev/ews-java-api,460,497,957,48
OfficeDev/ews-java-api,0,470,470,0
OfficeDev/ews-java-api,0,360,360,0
OfficeDev/ews-java-api,N/A,N/A,N/A,6
OfficeDev/ews-java-api,0,264,264,0
OfficeDev/ews-java-api,0,258,258,0
OfficeDev/ews-java-api,0,252,252,0
OfficeDev/ews-java-api,0,239,239,0
OfficeDev/ews-java-api,0,231,231,0
OfficeDev/ews-java-api,0,228,228,0
OfficeDev/ews-java-api,0,225,225,0
OfficeDev/ews-java-api,N/A,N/A,N/A,11
OfficeDev/ews-java-api,0,217,217,0
OfficeDev/ews-java-api,N/A,N/A,N/A,14
OfficeDev/ews-java-api,0,165,165,0
OfficeDev/ews-java-api,N/A,N/A,N/A,7
OfficeDev/ews-java-api,0,N/A,N/A,0
OfficeDev/ews-java-api,0,N/A,N/A,0
OfficeDev/ews-java-api,0,N/A,N/A,0
OfficeDev/ews-java-api,N/A,N/A,N/A,31
OfficeDev/ews-java-api,0,N/A,N/A,0
OfficeDev/ews-java-api,N/A,N/A,N/A,52
OfficeDev/ews-java-api,0,N/A,N/A,0
OfficeDev/ews-java-api,0,N/A,N/A,0
OfficeDev/ews-java-api,0,N/A,N/A,0
OfficeDev/ews-java-api,0,N/A,N/A,0
OfficeDev/ews-java-api,N/A,N/A,N/A,41
OfficeDev/ews-java-api,0,N/A,N/A,0
OfficeDev/ews-java-api,0,N/A,N/A,0
OfficeDev/ews-java-api,0,N/A,N/A,0
OfficeDev/ews-java-api,0,N/A,N/A,0
OfficeDev/ews-java-api,2996,0,2996,100
OpenSOC/opensoc-streaming,0,4061,4061,0
OpenSOC/opensoc-streaming,0,545,545,0
OpenSOC/opensoc-streaming,0,322,322,0
OpenSOC/opensoc-streaming,0,66,66,0
OpenSOC/opensoc-streaming,0,626,626,0
OpenSOC/opensoc-streaming,0,479,479,0
OpenSOC/opensoc-streaming,0,203,203,0
OpenSOC/opensoc-streaming,0,178,178,0
OpenSOC/opensoc-streaming,0,155,155,0
OpenSOC/opensoc-streaming,0,45,45,0
OpenSOC/opensoc-streaming,2141,2304,4445,48
OpenSOC/opensoc-streaming,0,780,780,0
OpenSOC/opensoc-streaming,0,N/A,N/A,0
OpenSOC/opensoc-streaming,1182,2112,3294,36
OpenSOC/opensoc-streaming,0,69,69,0
OpenSOC/opensoc-streaming,0,N/A,N/A,0
OryxProject/oryx,330,810,1140,29
OryxProject/oryx,0,330,330,0
OryxProject/oryx,19,281,300,6
OryxProject/oryx,385,27,412,93
OryxProject/oryx,893,436,1329,67
OryxProject/oryx,506,68,574,88
OryxProject/oryx,566,61,627,90
OryxProject/oryx,305,59,364,84
OryxProject/oryx,530,47,577,92
OryxProject/oryx,522,18,540,97
OryxProject/oryx,423,16,439,96
OryxProject/oryx,338,13,351,96
OryxProject/oryx,N/A,N/A,N/A,97
OryxProject/oryx,N/A,N/A,N/A,96
OryxProject/oryx,31,1818,1849,2
OryxProject/oryx,0,1339,1339,0
OryxProject/oryx,0,1065,1065,0
OryxProject/oryx,123,117,240,51
OryxProject/oryx,553,98,651,85
OryxProject/oryx,198,87,285,69
OryxProject/oryx,171,64,235,73
OryxProject/oryx,64,35,99,65
OryxProject/oryx,257,25,282,91
OryxProject/oryx,529,22,551,96
OryxProject/oryx,111,14,125,89
OryxProject/oryx,40,828,868,5
OryxProject/oryx,323,785,1108,29
OryxProject/oryx,0,515,515,0
OryxProject/oryx,1078,721,1799,60
OryxProject/oryx,0,689,689,0
OryxProject/oryx,816,40,856,95
SQiShER/java-object-diff,1212,354,1566,77
SQiShER/java-object-diff,475,156,631,75
SQiShER/java-object-diff,655,142,797,82
SQiShER/java-object-diff,290,75,365,79
SQiShER/java-object-diff,349,48,397,88
SQiShER/java-object-diff,880,34,914,96
SQiShER/java-object-diff,357,26,383,93
SQiShER/java-object-diff,616,20,636,97
SQiShER/java-object-diff,114,18,132,86
SQiShER/java-object-diff,1140,15,1155,99
SQiShER/java-object-diff,N/A,N/A,N/A,96
SQiShER/java-object-diff,N/A,N/A,N/A,95
SQiShER/java-object-diff,N/A,N/A,N/A,91
SQiShER/java-object-diff,1129,0,1129,100
SQiShER/java-object-diff,142,0,142,100
SoftInstigate/restheart,44,3869,3913,1
SoftInstigate/restheart,0,3567,3567,0
SoftInstigate/restheart,1133,3353,4486,25
SoftInstigate/restheart,940,3139,4079,23
SoftInstigate/restheart,0,2851,2851,0
SoftInstigate/restheart,0,2165,2165,0
SoftInstigate/restheart,65,1843,1908,3
SoftInstigate/restheart,0,1638,1638,0
SoftInstigate/restheart,0,1587,1587,0
SoftInstigate/restheart,N/A,N/A,N/A,1
SoftInstigate/restheart,0,1060,1060,0
SoftInstigate/restheart,0,1003,1003,0
SoftInstigate/restheart,N/A,N/A,N/A,1
SoftInstigate/restheart,0,734,734,0
SoftInstigate/restheart,0,713,713,0
SoftInstigate/restheart,0,642,642,0
SoftInstigate/restheart,0,563,563,0
SoftInstigate/restheart,N/A,N/A,N/A,2
SoftInstigate/restheart,0,501,501,0
SoftInstigate/restheart,N/A,N/A,N/A,1
SoftInstigate/restheart,0,326,326,0
SoftInstigate/restheart,0,196,196,0
SoftInstigate/restheart,0,191,191,0
SoftInstigate/restheart,0,74,74,0
Unicon/cas-addons,0,349,349,0
Unicon/cas-addons,0,228,228,0
Unicon/cas-addons,14,219,233,6
Unicon/cas-addons,55,195,250,22
Unicon/cas-addons,0,169,169,0
Unicon/cas-addons,0,168,168,0
Unicon/cas-addons,18,162,180,10
Unicon/cas-addons,87,160,247,35
Unicon/cas-addons,504,154,658,77
Unicon/cas-addons,403,136,539,75
Unicon/cas-addons,0,127,127,0
Unicon/cas-addons,44,125,169,26
Unicon/cas-addons,0,98,98,0
Unicon/cas-addons,51,97,148,34
Unicon/cas-addons,53,90,143,37
Unicon/cas-addons,59,87,146,40
Unicon/cas-addons,821,84,905,91
Unicon/cas-addons,26,72,98,27
Unicon/cas-addons,33,70,103,32
Unicon/cas-addons,0,61,61,0
Unicon/cas-addons,0,48,48,0
Unicon/cas-addons,269,36,305,88
Unicon/cas-addons,N/A,N/A,N/A,14
Unicon/cas-addons,104,13,117,89
Unicon/cas-addons,0,9,9,0
Unicon/cas-addons,N/A,N/A,N/A,86
Unicon/cas-addons,0,N/A,N/A,0
Unicon/cas-addons,N/A,N/A,N/A,95
Unicon/cas-addons,N/A,N/A,N/A,86
addthis/stream-lib,696,863,1559,45
addthis/stream-lib,26793,615,27408,98
addthis/stream-lib,2838,418,3256,87
addthis/stream-lib,1388,252,1640,85
addthis/stream-lib,N/A,N/A,N/A,87
addthis/stream-lib,N/A,N/A,N/A,94
addthis/stream-lib,N/A,N/A,N/A,98
bitcoinj/bitcoinj,26136,8223,34359,76
bitcoinj/bitcoinj,9473,4507,13980,68
bitcoinj/bitcoinj,16905,3553,20458,83
bitcoinj/bitcoinj,0,3216,3216,0
bitcoinj/bitcoinj,4948,2710,7658,65
bitcoinj/bitcoinj,N/A,N/A,N/A,10
bitcoinj/bitcoinj,0,978,978,0
bitcoinj/bitcoinj,4076,936,5012,81
bitcoinj/bitcoinj,4154,797,4951,84
bitcoinj/bitcoinj,5602,763,6365,88
bitcoinj/bitcoinj,1615,672,2287,71
bitcoinj/bitcoinj,793,505,1298,61
bitcoinj/bitcoinj,N/A,N/A,N/A,4
bitcoinj/bitcoinj,N/A,N/A,N/A,92
bitcoinj/bitcoinj,N/A,N/A,N/A,92
bitcoinj/bitcoinj,N/A,N/A,N/A,89
bitcoinj/bitcoinj,N/A,N/A,N/A,10
brettwooldridge/HikariCP,1453,1078,2531,57
brettwooldridge/HikariCP,3126,875,4001,78
brettwooldridge/HikariCP,1255,289,1544,81
brettwooldridge/HikariCP,N/A,N/A,N/A,87
brianfrankcooper/YCSB,360,235,595,61
brianfrankcooper/YCSB,399,436,835,48
brianfrankcooper/YCSB,338,335,673,50
brianfrankcooper/YCSB,547,5092,5639,10
brianfrankcooper/YCSB,532,1652,2184,24
brianfrankcooper/YCSB,957,1415,2372,40
brianfrankcooper/YCSB,83,1258,1341,6
brianfrankcooper/YCSB,86,142,228,38
brianfrankcooper/YCSB,403,216,619,65
brianfrankcooper/YCSB,411,494,905,45
brianfrankcooper/YCSB,1132,970,2102,54
brianfrankcooper/YCSB,214,1479,1693,13
brianfrankcooper/YCSB,342,220,562,61
brianfrankcooper/YCSB,35,263,298,12
brianfrankcooper/YCSB,250,1183,1433,17
brianfrankcooper/YCSB,370,117,487,76
checkstyle/checkstyle,9007,26170,35177,26
checkstyle/checkstyle,29249,1914,31163,94
checkstyle/checkstyle,0,1912,1912,0
checkstyle/checkstyle,4044,558,4602,88
checkstyle/checkstyle,N/A,N/A,N/A,98
checkstyle/checkstyle,N/A,N/A,N/A,91
checkstyle/checkstyle,N/A,N/A,N/A,94
checkstyle/checkstyle,N/A,N/A,N/A,79
checkstyle/checkstyle,N/A,N/A,N/A,98
checkstyle/checkstyle,N/A,N/A,N/A,98
checkstyle/checkstyle,3175,0,3175,100
checkstyle/checkstyle,N/A,N/A,N/A,99
checkstyle/checkstyle,1539,0,1539,100
checkstyle/checkstyle,6042,0,6042,100
checkstyle/checkstyle,5093,0,5093,100
checkstyle/checkstyle,4271,0,4271,100
checkstyle/checkstyle,3174,0,3174,100
checkstyle/checkstyle,2173,0,2173,100
checkstyle/checkstyle,2141,0,2141,100
checkstyle/checkstyle,1184,0,1184,100
checkstyle/checkstyle,964,0,964,100
checkstyle/checkstyle,906,0,906,100
checkstyle/checkstyle,766,0,766,100
checkstyle/checkstyle,N/A,0,N/A,100
cloudera/oryx,330,810,1140,29
cloudera/oryx,0,330,330,0
cloudera/oryx,19,281,300,6
cloudera/oryx,385,27,412,93
cloudera/oryx,893,436,1329,67
cloudera/oryx,506,68,574,88
cloudera/oryx,566,61,627,90
cloudera/oryx,305,59,364,84
cloudera/oryx,530,47,577,92
cloudera/oryx,522,18,540,97
cloudera/oryx,423,16,439,96
cloudera/oryx,338,13,351,96
cloudera/oryx,N/A,N/A,N/A,97
cloudera/oryx,N/A,N/A,N/A,96
cloudera/oryx,31,1818,1849,2
cloudera/oryx,0,1339,1339,0
cloudera/oryx,0,1065,1065,0
cloudera/oryx,123,117,240,51
cloudera/oryx,553,98,651,85
cloudera/oryx,198,87,285,69
cloudera/oryx,171,64,235,73
cloudera/oryx,64,35,99,65
cloudera/oryx,257,25,282,91
cloudera/oryx,529,22,551,96
cloudera/oryx,111,14,125,89
cloudera/oryx,40,828,868,5
cloudera/oryx,323,785,1108,29
cloudera/oryx,0,515,515,0
cloudera/oryx,1078,721,1799,60
cloudera/oryx,0,689,689,0
cloudera/oryx,816,40,856,95
code4craft/webmagic,443,146,589,75
code4craft/webmagic,277,92,369,75
code4craft/webmagic,52,6,58,90
code4craft/webmagic,13,0,13,100
datastax/java-driver,15327,47578,62905,24
datastax/java-driver,1014,3198,4212,24
datastax/java-driver,4488,1010,5498,82
datastax/java-driver,922,789,1711,54
datastax/java-driver,N/A,N/A,N/A,95
datastax/java-driver,N/A,N/A,N/A,77
datastax/java-driver,360,405,765,47
datastax/java-driver,140,222,362,39
datastax/java-driver,501,218,719,70
datastax/java-driver,456,173,629,72
datastax/java-driver,9,133,142,6
datastax/java-driver,0,102,102,0
datastax/java-driver,148,87,235,63
datastax/java-driver,32,45,77,42
datastax/java-driver,1176,4257,5433,22
datastax/java-driver,0,N/A,N/A,0
davidmoten/rxjava-jdbc,564,1315,1879,30
davidmoten/rxjava-jdbc,4676,1090,5766,81
davidmoten/rxjava-jdbc,N/A,N/A,N/A,72
davidmoten/rxjava-jdbc,N/A,N/A,N/A,73
deeplearning4j/deeplearning4j,992,1707,2699,37
deeplearning4j/deeplearning4j,293,551,844,35
deeplearning4j/deeplearning4j,225,442,667,34
deeplearning4j/deeplearning4j,164,247,411,40
deeplearning4j/deeplearning4j,176,205,381,46
deeplearning4j/deeplearning4j,114,167,281,41
deeplearning4j/deeplearning4j,81,121,202,40
deeplearning4j/deeplearning4j,115,108,223,52
deeplearning4j/deeplearning4j,107,79,186,58
deeplearning4j/deeplearning4j,57,74,131,44
deeplearning4j/deeplearning4j,33,73,106,31
deeplearning4j/deeplearning4j,N/A,N/A,N/A,30
devnied/EMV-NFC-Paycard-Enrollment,0,958,958,0
devnied/EMV-NFC-Paycard-Enrollment,748,951,1699,44
devnied/EMV-NFC-Paycard-Enrollment,2413,100,2513,96
devnied/EMV-NFC-Paycard-Enrollment,169,75,244,69
devnied/EMV-NFC-Paycard-Enrollment,N/A,N/A,N/A,99
devnied/EMV-NFC-Paycard-Enrollment,N/A,N/A,N/A,81
devnied/EMV-NFC-Paycard-Enrollment,N/A,N/A,N/A,99
devnied/EMV-NFC-Paycard-Enrollment,N/A,N/A,N/A,93
devnied/EMV-NFC-Paycard-Enrollment,N/A,N/A,N/A,73
devnied/EMV-NFC-Paycard-Enrollment,257,0,257,100
dianping/cat,0,1146,1146,0
dianping/cat,0,86,86,0
dianping/cat,0,600,600,0
doanduyhai/Achilles,0,7969,7969,0
doanduyhai/Achilles,N/A,N/A,N/A,1
doanduyhai/Achilles,0,3884,3884,0
doanduyhai/Achilles,9175,2987,12162,75
doanduyhai/Achilles,0,2404,2404,0
doanduyhai/Achilles,0,2183,2183,0
doanduyhai/Achilles,0,2117,2117,0
doanduyhai/Achilles,0,1864,1864,0
doanduyhai/Achilles,0,1502,1502,0
doanduyhai/Achilles,1390,1262,2652,52
doanduyhai/Achilles,N/A,N/A,N/A,1
doanduyhai/Achilles,0,1089,1089,0
doanduyhai/Achilles,N/A,N/A,N/A,1
doanduyhai/Achilles,0,928,928,0
doanduyhai/Achilles,0,865,865,0
doanduyhai/Achilles,0,861,861,0
doanduyhai/Achilles,0,783,783,0
doanduyhai/Achilles,2505,623,3128,80
doanduyhai/Achilles,N/A,N/A,N/A,8
doanduyhai/Achilles,0,617,617,0
doanduyhai/Achilles,0,596,596,0
doanduyhai/Achilles,0,529,529,0
doanduyhai/Achilles,1007,474,1481,68
doanduyhai/Achilles,0,464,464,0
doanduyhai/Achilles,0,449,449,0
doanduyhai/Achilles,N/A,N/A,N/A,1
doanduyhai/Achilles,258,393,651,40
doanduyhai/Achilles,0,386,386,0
doanduyhai/Achilles,0,359,359,0
doanduyhai/Achilles,0,353,353,0
doanduyhai/Achilles,0,308,308,0
doanduyhai/Achilles,1225,259,1484,83
doanduyhai/Achilles,N/A,N/A,N/A,25
doanduyhai/Achilles,0,223,223,0
doanduyhai/Achilles,0,211,211,0
doanduyhai/Achilles,764,198,962,79
doanduyhai/Achilles,0,197,197,0
doanduyhai/Achilles,0,194,194,0
doanduyhai/Achilles,156,139,295,53
doanduyhai/Achilles,287,114,401,72
doanduyhai/Achilles,N/A,N/A,N/A,6
doanduyhai/Achilles,0,N/A,N/A,0
doanduyhai/Achilles,0,N/A,N/A,0
doanduyhai/Achilles,0,N/A,N/A,0
doanduyhai/Achilles,N/A,N/A,N/A,4
doanduyhai/Achilles,N/A,N/A,N/A,4
doanduyhai/Achilles,0,N/A,N/A,0
doanduyhai/Achilles,N/A,N/A,N/A,5
doanduyhai/Achilles,N/A,N/A,N/A,5
doanduyhai/Achilles,0,N/A,N/A,0
doanduyhai/Achilles,0,N/A,N/A,0
doanduyhai/Achilles,N/A,N/A,N/A,19
doanduyhai/Achilles,N/A,N/A,N/A,74
doanduyhai/Achilles,N/A,N/A,N/A,12
doanduyhai/Achilles,N/A,N/A,N/A,86
doanduyhai/Achilles,N/A,N/A,N/A,14
doanduyhai/Achilles,N/A,N/A,N/A,96
doanduyhai/Achilles,N/A,N/A,N/A,95
doanduyhai/Achilles,0,N/A,N/A,0
doanduyhai/Achilles,N/A,N/A,N/A,18
doanduyhai/Achilles,N/A,N/A,N/A,55
doanduyhai/Achilles,N/A,N/A,N/A,60
doanduyhai/Achilles,N/A,N/A,N/A,60
doanduyhai/Achilles,N/A,N/A,N/A,99
doanduyhai/Achilles,N/A,N/A,N/A,75
doanduyhai/Achilles,N/A,0,N/A,100
doanduyhai/Achilles,1471,1079,2550,58
doanduyhai/Achilles,0,1031,1031,0
doanduyhai/Achilles,315,172,487,65
drewnoakes/metadata-extractor,4674,16035,20709,23
drewnoakes/metadata-extractor,2267,2849,5116,44
drewnoakes/metadata-extractor,N/A,N/A,N/A,3
drewnoakes/metadata-extractor,1822,1496,3318,55
drewnoakes/metadata-extractor,0,1343,1343,0
drewnoakes/metadata-extractor,875,1072,1947,45
drewnoakes/metadata-extractor,842,800,1642,51
drewnoakes/metadata-extractor,857,796,1653,52
drewnoakes/metadata-extractor,2754,744,3498,79
drewnoakes/metadata-extractor,1135,539,1674,68
drewnoakes/metadata-extractor,879,474,1353,65
drewnoakes/metadata-extractor,663,461,1124,59
drewnoakes/metadata-extractor,0,385,385,0
drewnoakes/metadata-extractor,N/A,N/A,N/A,28
drewnoakes/metadata-extractor,0,348,348,0
drewnoakes/metadata-extractor,0,316,316,0
drewnoakes/metadata-extractor,N/A,N/A,N/A,46
drewnoakes/metadata-extractor,N/A,N/A,N/A,73
drewnoakes/metadata-extractor,N/A,N/A,N/A,86
drewnoakes/metadata-extractor,0,N/A,N/A,0
drewnoakes/metadata-extractor,N/A,N/A,N/A,26
drewnoakes/metadata-extractor,N/A,N/A,N/A,69
drewnoakes/metadata-extractor,0,N/A,N/A,0
drewnoakes/metadata-extractor,N/A,N/A,N/A,64
drewnoakes/metadata-extractor,N/A,N/A,N/A,63
drewnoakes/metadata-extractor,0,N/A,N/A,0
drewnoakes/metadata-extractor,N/A,N/A,N/A,60
drewnoakes/metadata-extractor,0,N/A,N/A,0
drewnoakes/metadata-extractor,0,N/A,N/A,0
drewnoakes/metadata-extractor,0,N/A,N/A,0
drewnoakes/metadata-extractor,0,N/A,N/A,0
drewnoakes/metadata-extractor,0,N/A,N/A,0
drewnoakes/metadata-extractor,N/A,N/A,N/A,86
dropwizard/dropwizard,164,110,274,60
dropwizard/dropwizard,0,57,57,0
dropwizard/dropwizard,43,45,88,49
dropwizard/dropwizard,220,40,260,85
dropwizard/dropwizard,107,34,141,76
dropwizard/dropwizard,16,16,32,50
dropwizard/dropwizard,6,13,19,32
dropwizard/dropwizard,18,12,30,60
dropwizard/dropwizard,4,6,10,40
dropwizard/dropwizard,54,0,54,100
dropwizard/dropwizard,20,0,20,100
dynjs/dynjs,0,9629,9629,0
dynjs/dynjs,0,5062,5062,0
dynjs/dynjs,N/A,N/A,N/A,1
dynjs/dynjs,5010,4034,9044,55
dynjs/dynjs,6653,2385,9038,74
dynjs/dynjs,0,1634,1634,0
dynjs/dynjs,7815,1584,9399,83
dynjs/dynjs,0,1101,1101,0
dynjs/dynjs,1500,983,2483,60
dynjs/dynjs,0,971,971,0
dynjs/dynjs,0,966,966,0
dynjs/dynjs,0,796,796,0
dynjs/dynjs,0,796,796,0
dynjs/dynjs,0,621,621,0
dynjs/dynjs,2070,608,2678,77
dynjs/dynjs,237,599,836,28
dynjs/dynjs,0,576,576,0
dynjs/dynjs,0,568,568,0
dynjs/dynjs,0,521,521,0
dynjs/dynjs,431,486,917,47
dynjs/dynjs,0,468,468,0
dynjs/dynjs,869,408,1277,68
dynjs/dynjs,2738,401,3139,87
dynjs/dynjs,237,397,634,37
dynjs/dynjs,0,387,387,0
dynjs/dynjs,471,361,832,57
dynjs/dynjs,901,351,1252,72
dynjs/dynjs,1422,345,1767,80
dynjs/dynjs,2526,316,2842,89
dynjs/dynjs,0,292,292,0
dynjs/dynjs,339,249,588,58
dynjs/dynjs,N/A,N/A,N/A,21
dynjs/dynjs,1206,182,1388,87
dynjs/dynjs,252,180,432,58
dynjs/dynjs,158,174,332,48
dynjs/dynjs,0,144,144,0
dynjs/dynjs,686,114,800,86
